se_code,se_name,margin_vol
600248,陕西建工,22.94
600252,中恒集团,1.00
600258,首旅酒店,1.05
600261,阳光照明,1.00
600266,城建发展,1.00
600267,海正药业,1.00
600273,嘉化能源,22.82
600276,恒瑞医药,21.00
600277,亿利洁能,1.00
600278,东方创业,2.00
600282,南钢股份,34.19
600284,浦东建设,1.00
600285,羚锐制药,1.00
600293,三峡新材,3.45
600295,鄂尔多斯,1.00
600298,安琪酵母,14.43
600305,恒顺醋业,1.00
600308,华泰股份,1.00
600316,洪都航空,1.00
600320,振华重工,1.00
600323,瀚蓝环境,1.00
600326,西藏天路,1.00
600328,中盐化工,1.00
600329,达仁堂,4.06
600330,天通股份,1.00
600331,宏达股份,1.00
600335,国机汽车,1.00
600337,美克家居,2.70
600338,西藏珠峰,1.00
600346,恒力石化,7.76
600352,浙江龙盛,20.20
600360,华微电子,1.00
600363,联创光电,1.00
600366,宁波韵升,1.00
600369,西南证券,22.70
600373,中文传媒,10.70
600376,首开股份,2.42
600378,昊华科技,1.00
600383,金地集团,1.43
600389,江山股份,1.00
600391,航发科技,1.00
600395,盘江股份,1.00
600399,抚顺特钢,325.70
600406,国电南瑞,7.81
600415,小商品城,1.43
600416,湘电股份,114.87
600418,江淮汽车,42.16
600420,国药现代,10.84
600422,昆药集团,1.00
600426,华鲁恒升,1.58
600428,中远海特,1.00
600438,通威股份,18.61
600449,宁夏建材,6.42
600452,涪陵电力,1.00
600456,宝钛股份,1.00
600458,时代新材,1.00
600459,贵研铂业,2.00
600460,士兰微,33.54
600475,华光环能,2.33
600477,杭萧钢构,1.00
600480,凌云股份,40.10
600481,双良节能,1.00
600482,中国动力,2.26
600483,福能股份,1.00
600486,扬农化工,5.07
600487,亨通光电,1.69
600491,龙元建设,1.00
600496,精工钢构,31.52
600500,中化国际,3.24
600502,安徽建工,1.00
600507,方大特钢,1.00
600512,腾达建设,1.00
600519,贵州茅台,1.00
600522,中天科技,1.00
600523,贵航股份,1.00
600529,山东药玻,20.00
600531,豫光金铅,1.00
600546,山煤国际,6.12
600550,保变电气,1.00
600552,凯盛科技,1.00
600556,天下秀,87.55
600557,康缘药业,1.00
600559,老白干酒,2.10
600562,国睿科技,12.51
600565,迪马股份,1.00
600566,济川药业,1.40
600569,安阳钢铁,1.00
600572,康恩贝,1.00
600575,淮河能源,1.00
600577,精达股份,1.00
600578,京能电力,1.00
600581,八一钢铁,1.00
600582,天地科技,3.10
600583,海油工程,2.80
600584,长电科技,13.46
600587,新华医疗,1.00
600590,泰豪科技,1.00
600596,新安股份,2.56
600602,云赛智联,1.00
600604,市北高新,1.00
600610,中毅达,7.30
600612,老凤祥,1.00
600616,金枫酒业,9.48
600618,氯碱化工,1.00
600621,华鑫股份,1.00
600626,申达股份,5.00
600635,大众公用,1.00
600637,东方明珠,8.00
600639,浦东金桥,4.00
600641,万业企业,1.00
600643,爱建集团,1.00
600645,中源协和,12.29
600648,外高桥,9.66
600649,城投控股,8.00
600657,信达地产,1.00
600660,福耀玻璃,5.71
600662,外服控股,7.00
600675,中华企业,11.00
600682,南京新百,13.84
600685,中船防务,1.00
600688,上海石化,3.90
600691,阳煤化工,1.00
600694,大商股份,1.00
600696,岩石股份,18.23
600703,三安光电,3.16
600708,光明地产,2.00
600711,盛屯矿业,1.00
600718,东软集团,27.19
600729,重庆百货,2.00
600732,爱旭股份,104.80
600740,山西焦化,1.00
600742,一汽富维,1.00
600745,闻泰科技,29.62
600748,上实发展,1.00
600750,江中药业,1.00
600751,海航科技,1.00
600755,厦门国贸,12.71
600756,浪潮软件,40.00
600757,长江传媒,1.00
600761,安徽合力,1.00
600763,通策医疗,1.13
600764,中国海防,1.00
600770,综艺股份,1.00
600773,西藏城投,4.00
600775,南京熊猫,1.00
600776,东方通信,1.00
600783,鲁信创投,1.00
600789,鲁抗医药,1.00
600795,国电电力,1.32
600797,浙大网新,1.00
600800,渤海化学,1.00
600801,华新水泥,1.00
600808,马钢股份,3.18
600809,山西汾酒,1.00
600810,神马股份,1.00
600812,华北制药,1.00
600820,隧道股份,15.39
600821,金开新能,129.84
600825,新华传媒,5.00
600826,兰生股份,2.00
600837,海通证券,3.27
600850,电科数字,1.00
600855,航天长峰,1.00
600862,中航高科,2.24
600864,哈投股份,1.00
600867,通化东宝,2.29
600869,远东股份,1.00
600871,石化油服,1.40
600872,中炬高新,32.93
600873,梅花生物,1.00
600874,创业环保,1.00
600876,洛阳玻璃,5.00
600877,声光电科,17.63
600879,航天电子,16.19
600882,妙可蓝多,8.62
600884,杉杉股份,8.91
600885,宏发股份,2.11
600888,新疆众和,1.00
600893,航发动力,3.28
600900,长江电力,93.49
600903,贵州燃气,1.00
600905,三峡能源,15.68
600906,财达证券,135.58
600908,无锡银行,62.64
600916,中国黄金,2.39
600919,江苏银行,224.95
600926,杭州银行,3.00
600929,雪天盐业,13.80
600933,爱柯迪,6.12
600938,中国海油,72.97
600941,中国移动,27.39
600956,新天绿能,1.00
600958,东方证券,1.00
600963,岳阳林纸,1.00
600966,博汇纸业,1.00
600970,中材国际,1.20
600971,恒源煤电,1.00
600977,中国电影,1.00
600986,浙文互联,1.00
600990,四创电子,1.00
600996,贵广网络,1.00
600997,开滦股份,1.00
600999,招商证券,19.04
601000,唐山港,76.44
601001,晋控煤业,1.00
601005,重庆钢铁,27.76
601006,大秦铁路,27.48
601015,陕西黑猫,1.00
601016,节能风电,2.36
601028,玉龙股份,7.80
601058,赛轮轮胎,1.04
601069,西部黄金,1.00
601077,渝农商行,5.47
601088,中国神华,1.00
601099,太平洋,81.79
601101,昊华能源,5.65
601111,中国国航,166.47
601118,海南橡胶,19.73
601126,四方股份,1.00
601137,博威合金,2.62
601156,东航物流,30.88
601158,重庆水务,7.00
601162,天风证券,336.13
601166,兴业银行,1.53
601168,西部矿业,1.46
601179,中国西电,1.07
601200,上海环境,141.38
601208,东材科技,12.99
601211,国泰君安,1.00
601212,白银有色,1.00
601222,林洋能源,4.85
601225,陕西煤业,26.44
601231,环旭电子,1.38
601236,红塔证券,119.49
601238,广汽集团,2.36
601258,庞大集团,155.12
601288,农业银行,30.49
601298,青岛港,15.71
601311,骆驼股份,1.01
601318,中国平安,60.01
601319,中国人保,5.42
601333,广深铁路,3.60
601369,陕鼓动力,1.00
601375,中原证券,90.52
601399,国机重装,55.79
601515,东风股份,1.00
601519,大智慧,2.20
